Que la paix soit avec vous;Essalamo 3alikom;السلام عليكم
Que la paix soit avec vous, aussi;Wa 3alikom essalam;وعليكم السلام
Bonjour;Sba7 elkhir / Sba7 ennor;صْباح الخير / صْباح النور
Bonsoir;Msa elkhir / Msa ennor;مسا الخير/ مسا النور
Comment vas-tu ?;Ki dayr ? (masc.) / Ki dayra ? (fém.);كي داير؟ / كي دايرة؟
Tu vas bien ?;Labas 3lik ?;لا باس عليك؟
Je vais bien, louange à Dieu;Labas, el7amdo lillah;لاباس، الحمد لله
Et toi ?;W nta ? (masc.) / W nti ? (fém.);و نتا؟ / و نْتي؟
Et la famille ?;Mmaline eddar ? / El3a2ila ?;مّالين الدّار؟ / العائلة؟
Et les enfants ?;Elwlidat ?;الوليدات؟
Tout va bien.;Kolshi bikhir;كُلشي بِخير
Puisse Dieu te protéger.;Rebbi ikhellik;ربي يخليك
On se voit demain.;Netshawfo ghedda;نْتشاوْفو غْدّا
Au revoir.;Beslama;بْسْلامة
Bonne journée.;Neharek mebrouk;نهارك مبروك
Merci;Shukran;شكرا
Que Dieu te bénisse.;Baraka Allaho fik;بارك الله فيك
Avec la volonté de Dieu.;Inshallah;إن شاء الله
Des nouvelles de...;Shi khbar 3la...;شي خبار على...
Qu’est-ce que tu racontes ?;Ash kat3awd ? (masc.) / Ash kat3awdi ? (fém.);أش كتعاود؟ / أش كتعاودي؟
