Oui;Iyyeh / ah / wah;إييه/ آه/واه
Non;Lla;لا
S’il te plaît;3afak;عافاك
Merci;Shokran;شكرا
Je t’aime;Kanbghik;كنبغيك
Tu me manques;Twe77eshtek;توحشتك
Beaucoup;Bezzaf;بزاف
Un peu;Shwiya;شوية
D’accord;Wakha;واخا
Maintenant;Daba;دابا
Pas maintenant;Mashi daba;ماشي دابا
Ou;Awla;أولا
Et;W;و
Ce n’est pas un problème;Mashi moshkil;ماشي مشكل
Ce n’est pas moi;Mashi ana;ماشي أنا
Je veux...;Bghit…;بغيت…
Je ne veux pas...;Ma bghitsh...;...ما بغيتش
J’ai terminé;Salit;ساليت
Je n’ai pas terminé;Ma salitsh;ما ساليتش
Joli / Beau;Zwin;زوين
Mauvais/Moche (Masculin singulier);Khayb;خايب
Bon/Bien;Mezyan;مزيان
