Dans;F;ف
Aller à la plage;Mshi l-bḥar;مْشِي لْبْحَر
Ce sac est dans la boîte;Had skhouna f l-sndouq;هَادْ السّاك فْ الصّنْدوقْ
Viande;L-ḥm;اللّْحْمْ
Poisson;L-ḥout;الْحُوتْ
Bœuf;L-gennawi;الْجْنَاوِي
Gros;Smin;سْمِينْ
Maigre;Nḥif;نْحِيفْ
Français;Phonétique;Arabe
Où est le désert;Fin kayn ṣ-ṣḥra;فين كاين الصحرا
Moi aussi;Hta ana;حتّى أنا
Toi aussi;Hta nta (masculin) / Hta nti (féminin);حتّى نْتَ / حتّى نْتِي
Eux aussi;Hta huma;حتّى هُما
Imaginer;Tṣawwar;تْصَوّرْ
Photo;Ṣura;صُورَة
Vidéo;Vidyo;فيديو
