Paraître;Ban;بَانْ
Pardonner;Sme7;سْمْحْ
Parler;Hder;هْدْرْ
Payer;Khelles;خْلّصْ
Peigner;Mshet;مْشْطْ
Peindre;Sbegh;صْبْغْ
Perdre;Khser;خْسْرْ
Pleurer;Bka;بْكَا
Poser une question;Sewwel;سْوّْلْ
Préférer;Feddel;فْضّلْ
Prendre;Khda;خْدَا
Préparer;Wejjed;وْجّدْ
Prier;Sella;صْلّى
Promettre;Wa3ed;وَاعْدْ
Proposer;Qtare7;قْتَارْحْ
Puer;Khnaz;خْنَازْ
Réfléchir;Fekker;فْكّرْ
Regarder (par exemple un film);Tferrej 3la;تفرج على
Regretter;Ndem;نْدْمْ
Remercier;Shker;شْكْرْ
Remplir;3emmer;عْمّرْ
Répondre;Jaweb;جَاوْب
Résister;Qawem;قَاوْمْ
Respirer;Tneffes;تْنْفّسْ
Ressembler;Shbeh;شْبْهْ
Rester;Bqa;بْقَى
Réussir;Nje7;نْجْحْ
Revenir;Rje3;رْجْعْ
Rêver;7lem;حْلْمْ
Rire;D7ek;ضْحْكْ
