S'allonger;Tekka;تكّا
S'apprêter;Sta3ed;سْتَاعْدْ
S’approcher;Qerreb;قْرّبْ
S’appuyer contre;Tekka;تكّا
S’éloigner;Be33ed;بْعّدْ
S’excuser;3tader;عْتَادْرْ
S’habiller;Lbes;لْبْسْ
S’habituer;Wellef;وْلّفْ
Se concentrer;Rekkez;رْكّْزْ
Se mettre debout;Wqef;وْقْفْ
Se rappeler;3qel;عْقْلْ
Se relever;Nad;نَاضْ
Se réveiller;Faq;فَاقْ
Sentir;7ess;حْسّ
Signer;Sna;سْنَا
Sortir;Khrej;خْرْجْ
Suffoquer;Tekhneq;تخْنْقْ
Suivre;Tbe3;تْبْعْ
Terminer;Kemmel;كْمّلْ
Tomber;Tah;طَاحْ
Tomber malade;Mred;مْرْضْ
Tourner;Dar;ضَارْ
Tousser;Ke7eb;كْحْبْ
Traduire;Terjem;تْرْجْمْ
Travailler;Khdem;خْدْمْ
Trouver;Lqa;لْقَا
Tuer;Qtel;قْتْلْ
