Accepter; Qbel; قبل
Acheter; Shra; شْرَى
Aider; 3awen; عَاوْنْ
Apporter; Jab; جَابْ
Apprendre; T3ellem; تْعْلّمْ
Assister à; 7eder; حْضْرْ
Attendre; Tsenna; تْسْنّا
Avoir besoin; 7taj; حْتَاجْ
Blesser; Jre7; جْرْحْ
Boire; Shreb; شْرْبْ
Bouger; T7errek; تْحْرّكْ
Casser; Herres; هْرّسْ
Changer; Beddel; بْدّلْ
Chercher; Qelleb; قْلّبْ
Choisir; Khtar; خْتَارْ
Commencer; Bda; بْدَا
Comprendre; Fhem; فْهْمْ
Compter; 7seb; حْسْبْ
Conduire; Sag; صاڭ
Connaître; 3ref; عْرْفْ
Conseiller; Nse7; نْصح
Coudre; Khiyyet; خِيّطْ
Couper; Qte3; قْطْعْ
Courir; Jra; جْرَا
Craindre; Khaf; خَافْ
Crier; Ghewwet; غْوّتْ
Danser;Shte7;شْطْحْ
Décider;Qerrer;قْرّر
Demander;Tleb;طْلْبْ
Dénier;Nker;نْكْرْ
Dessiner;Rsem;رْسْمْ
Dire;Gal;قَالْ
Dormir;N3es;نْعْسْ
Douter;Shekk;شْكّ
Ecouter;Sme3;سْمْعْ
Ecrire;Kteb;كْتْبْ
Emprunter;Tsellef;تسْلّفْ
Encourager;Shejje3;شْجّعْ
Enseigner;Qerra;قْرّا
Entendre;Sme3;سْمْعْ
Entrer;Dkhel;دْخْلْ
Envoyer;Sifet;صِيفْطْ
Espérer;Tmenna;تّمْنّا
Essayer;7awel;حَاوْلْ
Être en retard;T3ettel;تعْطّلْ
Expliquer;Shre7;شْرْحْ
